Package Name,Functions,Data Safety Labels
com.dressup.doll.vlinder.avatar.maker,"android.telephony.TelephonyManager.getNetworkOperator,android.app.ActivityManager.getRunningTasks,android.telephony.TelephonyManager.getNetworkOperatorName,android.app.ActivityManager.getRunningAppProcesses,android.location.LocationManager.getLastKnownLocation,android.telephony.TelephonyManager.getNetworkCountryIso","Device or other IDs,App activity,Personal info,Location,Precise location,Approximate location"
com.dressup.doll.vlinder.avatar.maker.anime,"android.telephony.TelephonyManager.getNetworkOperatorName,android.location.LocationManager.getLastKnownLocation,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperator,android.app.ActivityManager.getRunningTasks,android.telephony.TelephonyManager.getNetworkCountryIso","Personal info,Location,Precise location,Approximate location,App activity,Device or other IDs"
com.drift.burnout.race,"java.io.File.getTotalSpace,java.io.File.getFreeSpace,android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso","Other app performance data,Personal info"
com.driftwood.galaxybowl.free,"java.io.File.getFreeSpace,java.io.File.getTotalSpace",Other app performance data
com.drilens.wamr,"android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso","Device or other IDs,Personal info"
com.driversnote.driversnote,java.io.File.getUsableSpace,Other app performance data
com.drum.muse.pad.bit,"java.io.File.getTotalSpace,android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.PowerManager.getCurrentThermalStatus,java.io.File.getFreeSpace","Other app performance data,Personal info,Diagnostics"
com.dtg.colorsortstack,"android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.StrictMode.getThreadPolicy,android.os.PowerManager.getCurrentThermalStatus,android.net.wifi.WifiInfo.getSSID,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkOperatorName","Device or other IDs,Personal info,App info and performance,Diagnostics"
com.dtg.officefever,"android.location.LocationManager.requestSingleUpdate,android.location.LocationManager.requestLocationUpdates,java.io.File.getFreeSpace,android.location.LocationManager.getLastKnownLocation,java.io.File.getTotalSpace","Precise location,Other app performance data"
com.duckduckgo.mobile.android,"android.os.StrictMode.getThreadPolicy,android.net.wifi.WifiInfo.getSSID","App info and performance,Device or other IDs"
