Package Name,PIIS,Data Safety Labels
com.jctswbglsm.SwipeAway,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.jeelapp.android,"DeviceName,BuildNumber",Device or other IDs
com.jeremysteckling.facerrel,"DeviceName,BuildNumber",Device or other IDs
com.jio.myjio,"DeviceName,BuildNumber,SSID",Device or other IDs
com.jiobit.app,"DeviceName,BuildNumber",Device or other IDs
com.joinhomebase.homebase.homebase,"DeviceName,BuildNumber,Longitude,Latitude,AdvertisingID","Device or other IDs,Location"
com.joinhoneycomb.Honeycomb,"DeviceName,BuildNumber",Device or other IDs
com.joyjourney.PianoWhiteGo,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.JoyMusic.PianoPinkMaster,"DeviceName,BuildNumber",Device or other IDs
com.joypac.nigeneko.gp,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.joytunes.simplyguitar,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.joytunes.simplypiano,"DeviceName,BuildNumber",Device or other IDs
com.jrzheng.supervpnfree,"DeviceName,BuildNumber",Device or other IDs
com.jsplash.musictutor,"DeviceName,BuildNumber",Device or other IDs
com.jump.into.plane.stunt,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.justidle.fnf.friday.night.mod,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.kalvlad.car,"DeviceName,BuildNumber",Device or other IDs
com.kalvlad.master,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.kamagames.videopoker,"DeviceName,BuildNumber",Device or other IDs
com.kamasagame.solitairehope,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.kanishka_developer.SketchPad,"DeviceName,BuildNumber",Device or other IDs
com.kawkaw.pornblocker.safebrowser.up,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.kaylaitsines.sweatwithkayla,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.kgs.housedesigner,"DeviceName,BuildNumber",Device or other IDs
com.khorasannews.akharinkhabar,"DeviceName,BuildNumber,AdvertisingID,Longitude,Latitude","Device or other IDs,Location"
com.kiarygames.tinyroom,"DeviceName,BuildNumber",Device or other IDs
com.kid58.lianyong.princessIII,"DeviceName,BuildNumber",Device or other IDs
com.kidsfungame.animalsounds,"DeviceName,BuildNumber",Device or other IDs
com.kidspiano.kidsentertainmentmusicgames,"DeviceName,BuildNumber",Device or other IDs
com.kikoff,"Longitude,Latitude",Location
com.kinedu.appkinedu,"DeviceName,BuildNumber",Device or other IDs
com.king.pyramidsolitairesaga,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.kingkodestudio.z2h,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.kitkats.qrscanner,"DeviceName,BuildNumber",Device or other IDs
com.kmo.pdf.editor,"DeviceName,BuildNumber",Device or other IDs
com.knbmedia.kidexplorerdino,"DeviceName,BuildNumber",Device or other IDs
com.kraftwerk9.rokie,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.KrakerStudio.HookRoll,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.kronos.workforceready,"DeviceName,BuildNumber",Device or other IDs
com.kubi.kucoin,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.kurogame.gplay.punishing.grayraven.en,"DeviceName,BuildNumber",Device or other IDs
com.KyurenIcesStd.fnfmario.superbross,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.laboladoapp.labo_brick_train_5y_free,"DeviceName,BuildNumber",Device or other IDs
com.laboladoapp.labo_tank,"DeviceName,BuildNumber",Device or other IDs
com.lajeuneandassociatesllc.barberchopdev,"DeviceName,BuildNumber",Device or other IDs
com.lalatoon.android,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.landlordgame.tycoon,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
